Height,K,MaxMemoryMB
10,8,15.191
10,16,16.219
10,32,15.195
10,64,15.402
10,128,16.344
12,8,17.152
12,16,15.672
12,32,15.488
12,64,15.414
12,128,15.531
14,8,18.559
14,16,18.805
14,32,20.34
14,64,18.66
14,128,18.695
16,8,31.559
16,16,33.5
16,32,31.523
16,64,31.465
16,128,32.438
