FileSizeBytes,SignTimeSeconds,VerifyTimeSeconds
1,0.420374,0.420115
1024,0.400092,0.390051
1048576,0.401146,0.410522
33554432,0.480464,0.489608
67108864,0.569974,0.560036
134217728,0.749909,0.740211
268435456,1.090971,1.120201
536870912,1.771415,1.749837
1073741824,3.142079,3.511458
