Height,K,SignTimeSeconds,VerifyTimeSeconds
10,8,0.453264,0.275808
10,16,0.138183,0.147691
10,32,0.160194,0.163132
10,64,0.125783,0.144757
10,128,0.128255,0.153624
12,8,0.136663,0.127001
12,16,0.120898,0.119
12,32,0.12,0.119999
12,64,0.126878,0.126006
12,128,0.144312,0.158986
14,8,0.183,0.152
14,16,0.184,0.14732
14,32,0.169122,0.13
14,64,0.164999,0.131001
14,128,0.163001,0.129998
16,8,0.295243,0.131201
16,16,0.286,0.118037
16,32,0.28601,0.125298
16,64,0.295959,0.131097
16,128,0.296001,0.132702
