FileSizeBytes,SignTimeSeconds,VerifyTimeSeconds
1,0.284194,0.113998
1024,0.275,0.111001
1048576,0.28302,0.114004
33554432,0.377712,0.205447
536870912,1.689034,1.515958
1073741824,3.961835,3.810067
5368709120,31.168184,39.393965
